Date,Modal Price (Rs./Quintal),Rel Humidity at 2 Meters (%) ,Precipitation Corrected (mm/day) ,Surface Soil Wetness,Root Zone Soil Wetness,Temperature at 2 Meters,T2M_MAX,T2M_MIN
01-01-2004,1485,32.44,0,0.24,0.48,16.94,26.55,10.16
02-01-2004,1490,34.44,0,0.24,0.48,15.55,25.25,7.73
03-01-2004,1500,54.81,0,0.23,0.48,14.92,24.73,6.72
04-01-2004,1500,51.44,0,0.23,0.48,14.97,23.46,8.6
05-01-2004,1500,50.12,1.08,0.25,0.48,14.65,21.29,9.12
06-01-2004,1490,66.31,0.05,0.27,0.48,14.26,19.75,8.43
07-01-2004,1485,43.19,0,0.27,0.48,15.08,23.12,8.83
08-01-2004,1485,33.81,0,0.26,0.48,14.66,23.02,8.18
09-01-2004,1490,28.12,0,0.26,0.48,16.37,23.95,8.76
10-01-2004,1490,24.81,0,0.25,0.48,17.92,26.52,10.12
11-01-2004,1490,26.69,0,0.24,0.48,19.65,27.73,11.56
12-01-2004,1475,31.31,0,0.23,0.48,19.45,29.23,10.76
13-01-2004,1480,31.19,0,0.23,0.48,19.9,30.16,12.16
14-01-2004,1480,30.25,0,0.23,0.48,19.37,28.88,11.78
15-01-2004,1480,25.5,0,0.22,0.48,20.58,30.29,13.48
16-01-2004,1485,32,0,0.22,0.48,20.78,29.63,14.21
17-01-2004,1480,32.19,0,0.21,0.48,20.49,30.76,12.58
18-01-2004,1480,36.88,0,0.21,0.48,17.17,25.9,10.66
19-01-2004,1480,30,0,0.2,0.47,16.47,26.49,8.04
20-01-2004,1485,31.75,0.1,0.2,0.47,18.67,28.04,10.65
21-01-2004,1505,46.25,2.79,0.3,0.48,18.94,26.88,13.17
22-01-2004,1520,52.62,0.07,0.3,0.48,17.87,24.91,11
23-01-2004,1525,50.75,1.48,0.32,0.48,15.76,23.12,9.97
24-01-2004,1505,41.62,0,0.34,0.48,13.33,21.63,6.23
25-01-2004,1505,37.31,0,0.33,0.48,13.92,22.6,7.98
26-01-2004,1505,40.25,0,0.31,0.48,14.58,23.3,7.83
27-01-2004,1520,37.19,0,0.3,0.48,14.67,23.92,6.7
28-01-2004,1520,35.88,0,0.29,0.48,15.46,25.45,6.78
29-01-2004,1515,45.62,0.08,0.28,0.48,17.73,25.95,9.59
30-01-2004,1510,40.31,0.08,0.27,0.48,18.23,27.3,10.19
31-01-2004,1525,44.06,0,0.27,0.48,15.34,23.01,9.13
01-02-2004,1525,41.5,0,0.27,0.48,12.8,20.7,6.28
02-02-2004,1525,34.81,0,0.26,0.48,13.06,22.45,4.12
03-02-2004,1500,25.44,0,0.25,0.48,14.63,24.82,4.96
04-02-2004,1500,19.06,0,0.24,0.48,16.48,27.71,9.09
05-02-2004,1520,20.75,0,0.23,0.48,14.64,25.17,5.96
06-02-2004,1520,20.62,0,0.23,0.48,15.62,25.61,5.87
07-02-2004,1505,17.62,0,0.23,0.48,17.01,27.01,9.04
08-02-2004,1505,18.38,0,0.22,0.48,17.95,29.15,9.14
09-02-2004,1510,25,0,0.21,0.48,19.48,31.07,9.47
10-02-2004,1515,38.81,0,0.21,0.48,18.29,27.58,10.58
11-02-2004,1505,34.38,0,0.2,0.47,16.39,26.84,7.22
12-02-2004,1510,31.75,0,0.2,0.47,17.23,27.69,8.69
13-02-2004,1515,35,0,0.2,0.47,18.99,29.39,9.4
